Code,Date,Open,High,Low,Close,Volume
XTJ,20260722,1631.5,1631.5,1610.5,1616.4,36032730
XTK,20260722,1567.053,1567.053,1567.053,1567.053,0
XTL,20260722,5120.8,5158.1,5120.8,5139.6,73015620
XTO,20260722,7396.2,7435,7396.2,7418.5,422996000
XTR,20260722,10343.38,10343.38,10343.38,10343.38,0
XTRJ,20260722,14197.51,14197.51,14197.51,14197.51,0
XTRK,20260722,14336.05,14336.05,14336.05,14336.05,0
XTX,20260722,2973.2,2973.2,2921.8,2929.8,41663360
XUJ,20260722,9496.9,9521.1,9317.9,9425.7,9559554
XUK,20260722,9327.549,9327.549,9327.549,9327.549,0
XUTJ,20260722,9425.651,9425.651,9425.651,9425.651,0
XUTK,20260722,9327.549,9327.549,9327.549,9327.549,0
XVI,20260722,11.2,11.2,10.5,10.7,0
XX20,20260722,1.255,1.255,1.255,1.255,0
XXJ,20260722,10721.3,10758.8,10682.3,10741.3,75545010
XXK,20260722,10735.54,10735.54,10735.54,10735.54,0
XYZ,20260722,114.35,114.57,113.47,113.47,58433
YAL,20260722,5.86,6.1,5.84,6.1,3565897
YANK,20260722,10.43,10.43,10.43,10.43,223
YAR,20260722,0.006,0.006,0.006,0.006,0
YMAX,20260722,7.41,7.5,7.41,7.46,60568
YOJ,20260722,0.265,0.265,0.26,0.26,15014
YOW,20260722,0.014,0.014,0.014,0.014,0
YRL,20260722,0.185,0.185,0.175,0.185,59338
YUG,20260722,0.044,0.044,0.044,0.044,15600
YUGOB,20260722,0.028,0.028,0.028,0.028,0
ZAG,20260722,0.037,0.037,0.037,0.037,7132
ZEO,20260722,0.079,0.081,0.077,0.08,1332474
ZEU,20260722,0.008,0.008,0.008,0.008,0
ZEUO,20260722,0.001,0.001,0.001,0.001,0
ZGL,20260722,0.12,0.12,0.12,0.12,0
ZILR,20260722,4.42,4.42,4.42,4.42,0
ZIM,20260722,13.5,13.77,13.19,13.57,5687
ZIP,20260722,2.83,2.88,2.765,2.78,6256142
ZLD,20260722,0.5,0.5,0.5,0.5,0
ZMI,20260722,0.0145,0.015,0.0145,0.015,3242904
ZMM,20260722,0.004,0.004,0.004,0.004,0
ZNC,20260722,0.099,0.1,0.096,0.1,855923
ZNCOA,20260722,0.022,0.022,0.021,0.021,631106
ZNO,20260722,0.055,0.056,0.055,0.055,8885
ZYAU,20260722,10.19,10.25,10.19,10.225,2831
ZYUS,20260722,14.85,14.91,14.82,14.91,3560
