Code,52w Low,52w High,Long-Term Trend,RSI (14),MACD,1 Day,RR Week 1,RR Week 2,RR Week 3,RR Week 4,RR Week 6,RR Week 8,RR Week 13,RR Week 19,RR Week 26,RR Week 39,RR Week 52,Close Price,Price Close Today,Price Week 1,Price Week 2,Price Week 3,Price Week 4,Price Week 13,Price Week 26,Price Week 52,Trend RR,Over Extention Risk,Trend Score,Trend Move,Liquidity Score,Liquidity Move,Volatility Score,Upside Pressure Risk,Market Cap Rank,Ranking,Overall Momentum Score,Overall Risk,Expected Move Up,Expected Move Down,Directional Expected Move,Market cap Measured,Exit Reason,Final Score,CFS Smooth,CFS Move,Micro Regime Period,Trend Category,Volatility Category,Liquidity Category,Micro Regime,Macro VT Regime,Micro R Smooth,Market Regime Category,Price Last Friday,Upper Price Limit,Lower Price Limit,Target Price Limit,Stop price Limit,Market Standing Score,Final Verdict,EMA Final Verdict,Momentum Category,Behavioural Classifier,Confidence State,PE Valuation,Overall Risk Class,Breakout classifier,Sector,TYPE,Exchange abbreviation,Company
29M,0.215,0.675,Bullish,57,Positive,3.45%,1.39%,-1.35%,2.82%,10.61%,15.87%,52.08%,32.73%,40.38%,7.35%,-27.00%,-22.34%,0.365,$0.393,$0.360,$0.370,$0.355,$0.330,$0.275,$0.340,$0.470,-1.80%,11.08%,0.469,-0.046,3.868,0.025,2.267,7.96%,349,134,51.70%,31.60%,30.80%,13.57%,12.83%,686905222,Trader Choice,65.30%,58.16%,7.139%,1,Uptrend – Calm,Medium,Standard,Rising,Medium - Fading,Rising,Unstable_Weak,$0.365,$0.48,$0.32,$0.412,$0.341,3.252,Positive,Monitor – Active,Rising,Inspect,Moderate,NA,Balanced,Breakout,Materials,Ordinary,XASX,29METALS Limited Ordinary
30BB,24.23,25.47,Bearish,23,Negative,0.37%,-0.04%,-0.65%,-1.18%,-1.42%,-1.34%,-0.78%,-1.30%,-0.45%,-0.08%,-2.10%,-4.30%,24.28,$24.370,$24.290,$24.440,$24.570,$24.630,$24.600,$24.300,$25.370,-47.84%,0.17%,-0.095,-0.018,1.271,0.046,1.490,5.75%,1742,778,15.00%,32.90%,10.00%,20.23%,-7.08%,0,Stress-Drawdown,36.80%,33.03%,3.768%,14,Sideways – Breaking,Calm,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$24.280,$26.71,$19.37,$22.562,$23.068,1.925,Recheck,Weak – Better,Fading,Inspect,Weak,NA,Balanced,Breakout,Financials ,ETF,XASX,BetaShares 2030 Fixed Term Corp Bond Active ETF
31BB,24.89,25.47,Neutral,32,Negative,-0.12%,-0.40%,-0.48%,-1.07%,-1.26%,-1.03%,-1.03%,-1.50%,-0.56%,NA,NA,NA,24.98,$24.950,$25.080,$25.100,$25.250,$25.300,$25.360,$0.000,$0.000,-12.71%,0.00%,-0.063,-0.018,1.339,0.061,1.632,5.74%,1742,726,16.20%,33.60%,10.00%,17.28%,-4.63%,0,Stress-Drawdown,34.30%,30.07%,4.225%,14,Sideways – Breaking,Calm,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$24.980,$27.48,$20.66,$23.824,$23.591,1.929,Weak,Weak – Better,Fading,Inspect,Strong,NA,Balanced,Breakout,Other,ETF,XASX,BetaShares 2031 Fixed Term Corp Bond Active ETF
3DA,0.185,0.42,Neutral,54,Negative,5.77%,6.12%,1.96%,4.00%,18.18%,18.18%,-5.45%,NA,-31.58%,-1.89%,1.96%,-35.80%,0.26,$0.275,$0.245,$0.255,$0.250,$0.220,$0.000,$0.265,$0.405,-4.15%,8.25%,-0.028,0.109,2.269,0.075,2.280,19.54%,65,336,23.30%,36.00%,11.58%,17.61%,-0.17%,10486599750,Trader Choice,42.90%,36.56%,6.340%,1,Sideways – Calm,Medium,Limited,Rising,Calm - Fading,Fading,Unstable_Weak,$0.260,$0.29,$0.21,$0.260,$0.250,4.664,Recheck,Weak – Active,Fading,Inspect,Strong,NA,Balanced,Breakout Tilt,Industrials,CDI,XASX,Amaero Inc. CDI 40:1
3DP,0.026,0.062,Bearish,35,Negative,-1.85%,-3.70%,-7.14%,-7.14%,-10.34%,-16.13%,-7.14%,-16.13%,-16.13%,-21.21%,-35.00%,-48.00%,0.026,$0.026,$0.027,$0.028,$0.028,$0.029,$0.031,$0.033,$0.050,-43.00%,0.00%,-0.312,-0.059,1.410,-0.008,1.924,25.01%,1214,2067,6.30%,47.50%,45.00%,45.00%,-13.57%,21285596.8,Trader Choice,20.10%,17.61%,2.495%,4,Fading – Breaking,Low,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$0.026,$0.04,$0.01,$0.022,$0.026,1.462,Weak,Weak – Calm,Drop Phase,Faded,Moderate,NA,Caution,Breakout Tilt,Information Technology,Ordinary,XASX,Pointerra Limited Ordinary
3PL,0.185,0.64,Neutral,54,Positive,3.44%,0.00%,3.17%,-7.14%,1.56%,3.17%,1.56%,-16.13%,22.64%,8.33%,-47.58%,-49.22%,0.325,$0.345,$0.325,$0.315,$0.350,$0.320,$0.388,$0.300,$0.640,-0.84%,2.42%,0.032,-0.025,1.295,-0.171,2.026,14.61%,760,734,29.30%,46.30%,22.42%,16.61%,9.98%,94152742.5,Stress-Drawdown,33.80%,31.56%,2.240%,3,Sideways – Calm,Low,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$0.325,$0.40,$0.27,$0.357,$0.312,1.491,Weak,Weak – Calm,Stable,Inspect,Strong,Distressed Cheap,Caution,Breakout Tilt,Consumer Discretionary,Ordinary,XASX,3P Learning Limited. Ordinary
49M,0.081,0.205,Neutral,60,Positive,-9.40%,17.39%,12.50%,3.85%,28.57%,50.00%,46.74%,17.39%,8.00%,NA,NA,NA,0.135,$0.120,$0.115,$0.120,$0.130,$0.105,$0.115,$0.000,$0.000,-15.50%,9.17%,0.292,0.145,1.942,-0.434,2.522,6.36%,1521,428,41.50%,46.40%,30.39%,18.78%,14.89%,8426418,Trader Choice,43.20%,37.27%,5.931%,1,Uptrend – Better,Medium,Limited,Upside,Medium - Fading,Neutral,Unstable_Weak,$0.135,$0.18,$0.11,$0.155,$0.118,1.000,Recheck,Weak – Better,Climbing,Improved,Moderate,NA,Caution,Breakout Tilt,Materials,Ordinary,XASX,49 Metals Limited Ordinary
4DS,0.008,0.015,Bearish,39,Negative,-5.56%,0.00%,0.00%,-18.18%,-18.18%,-18.18%,-18.18%,-18.18%,-18.18%,-18.18%,-25.00%,0.00%,0.009,$0.008,$0.009,$0.009,$0.011,$0.011,$0.011,$0.011,$0.009,-13.59%,0.00%,-0.346,-0.008,2.453,-0.159,2.307,31.80%,1259,1863,7.20%,48.30%,45.00%,45.00%,-12.29%,18842504,Trader Choice,19.10%,17.46%,1.640%,2,Fading – Breaking,Medium,Limited,Downside,Medium - Fading,Downside,Unstable_Weak,$0.009,$0.01,$0.00,$0.008,$0.008,1.562,Weak,Weak – Calm,Drop Phase,Inspect,Moderate,NA,Exposed,Neutral,Information Technology,Ordinary,XASX,4DS Memory Limited Ordinary
4DX,1.4,7.55,Bullish,64,Positive,-1.78%,28.27%,19.72%,18.41%,12.53%,2.13%,38.59%,-5.07%,34.27%,0.23%,22.79%,158.86%,4.31,$4.070,$3.360,$3.600,$3.640,$3.830,$4.540,$4.300,$1.665,-11.13%,37.33%,0.171,0.318,3.853,-0.007,2.521,11.84%,172,132,45.30%,27.00%,16.16%,10.45%,7.42%,2448396412,Trader Choice,57.50%,49.36%,8.141%,1,Uptrend – Soft,Medium,Standard,Rising,Calm - Uptrend,Downside,Unstable_Weak,$4.310,$5.01,$3.86,$4.630,$3.439,5.723,Monitor,Recheck – Active,Rising,Improved,Moderate,NA,Assured,Neutral,Health Care,Ordinary,XASX,4DMEDICAL Limited Ordinary
5GG,0.014,0.034,Bearish,37,Negative,2.94%,0.00%,-14.29%,-30.77%,-21.74%,-21.74%,28.57%,12.50%,-5.26%,-14.29%,-10.00%,-37.93%,0.018,$0.018,$0.018,$0.021,$0.026,$0.023,$0.016,$0.021,$0.029,-9.78%,1.95%,-0.107,-0.146,1.440,-0.052,2.535,39.00%,1546,1787,7.80%,57.30%,45.00%,45.00%,-3.87%,7797090.6,Stress-Trailing Stop,17.20%,17.78%,-0.583%,1,Sideways – Weak,Medium,Scarce,Downside,Spiked - Fading,Downside,Unstable_Weak,$0.018,$0.03,$0.01,$0.017,$0.017,1.385,Weak,Weak – Drift,Drop Phase,Collapsed,Moderate,NA,Exposed,Breakdown Tilt,Communication Services,Ordinary,XASX,Pentanet Limited Ordinary
5GN,0.051,0.15,Neutral,61,Positive,0.00%,8.77%,-3.13%,12.73%,14.81%,10.71%,14.81%,-19.48%,-10.14%,-3.13%,-54.07%,-58.67%,0.062,$0.062,$0.057,$0.064,$0.055,$0.054,$0.077,$0.064,$0.150,-9.42%,3.47%,-0.027,0.119,1.144,-0.011,2.439,19.47%,1309,1293,14.80%,52.20%,32.26%,32.26%,-3.18%,16374224.8,Stress-Drawdown,24.40%,20.54%,3.857%,1,Sideways – Soft,Medium,Scarce,Rising,Medium - Fading,Downside,Unstable_Weak,$0.062,$0.08,$0.04,$0.060,$0.060,1.311,Weak,Weak – Better,Drop Phase,Inspect,Strong,NA,Exposed,Breakout Tilt,Information Technology,Ordinary,XASX,5G Networks Limited Ordinary
5GOV,50.34,53.94,Bearish,43,Negative,0.12%,0.67%,-0.53%,-1.24%,-1.49%,-1.45%,-0.80%,-2.21%,-0.86%,-0.24%,-1.82%,-4.67%,50.85,$50.910,$50.510,$51.120,$51.490,$51.620,$52.000,$50.970,$53.340,-30.33%,0.22%,-0.081,0.019,1.386,0.067,1.857,8.50%,1742,1270,13.90%,36.40%,10.00%,18.30%,-5.01%,0,Stress-Drawdown,32.70%,31.20%,1.505%,1,Sideways – Breaking,Low,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$50.850,$55.94,$41.54,$48.301,$48.260,1.995,Weak,Weak – Calm,Drop Phase,Inspect,Strong,NA,Balanced,Breakout,Financials ,ETF,XASX,Vaneck 5-10 Year Australian Government Bond ETF
6KA,0.55,1.09,Bearish,41,Negative,-4.07%,-1.97%,-9.70%,-16.29%,-10.24%,-3.25%,11.19%,-6.29%,-1.97%,1.36%,-10.24%,NA,0.745,$0.700,$0.760,$0.825,$0.890,$0.830,$0.795,$0.735,$0.000,-6.45%,0.60%,-0.045,-0.119,1.309,0.009,1.908,29.11%,702,1358,11.10%,48.70%,10.00%,12.91%,0.00%,121566760,Stress-Trailing Stop,27.30%,28.40%,-1.100%,1,Sideways – Weak,Low,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$0.745,$0.82,$0.65,$0.745,$0.686,1.705,Weak,Weak – Drift,Drop Phase,Faded,Moderate,NA,Exposed,Breakout Tilt,Materials,CDI,XASX,"6K Additive, Inc. CDI 1:1 US Person Prohibited Excluding QIB"
88E,0.017,0.045,Neutral,60,Positive,0.06%,5.00%,5.00%,10.53%,5.00%,10.53%,5.00%,5.00%,-12.50%,-36.36%,-8.70%,-4.55%,0.021,$0.021,$0.020,$0.020,$0.019,$0.020,$0.020,$0.033,$0.022,-0.74%,2.74%,0.025,0.082,1.858,-0.102,1.875,16.17%,1139,829,32.20%,43.50%,45.00%,45.00%,6.76%,27284536.5,Trader Choice,38.80%,32.70%,6.104%,1,Sideways – Calm,Low,Limited,Rising,Calm - Sideways,Neutral,Unstable_Weak,$0.021,$0.03,$0.01,$0.022,$0.019,1.511,Weak,Weak – Active,Stable,Improved,Very Strong,NA,Caution,Breakout,Energy,Ordinary,XASX,88 Energy Limited Ordinary
8CO,0.018,0.047,Neutral,35,Negative,0.00%,0.00%,-2.78%,0.00%,-14.63%,-14.63%,-10.26%,52.17%,75.00%,66.67%,20.69%,-23.91%,0.035,$0.035,$0.035,$0.036,$0.035,$0.041,$0.023,$0.021,$0.046,-1.84%,4.53%,0.244,-0.171,1.246,-0.135,2.525,23.07%,1543,471,29.60%,54.00%,45.00%,45.00%,11.91%,7843321.5,Stress-Trailing Stop,33.50%,33.02%,0.483%,3,Uptrend – Soft,Medium,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$0.035,$0.05,$0.02,$0.039,$0.032,1.282,Weak,Weak – Calm,Stable,Faded,Weak,Exposed Premium,Exposed,Neutral,Information Technology,Ordinary,XASX,8COMMON Limited Ordinary
8IH,0.011,0.05,Bearish,42,Negative,0.00%,0.00%,-7.69%,-36.84%,-7.69%,-7.69%,-7.69%,0.00%,-7.69%,-14.29%,-29.41%,20.00%,0.012,$0.012,$0.012,$0.013,$0.019,$0.013,$0.012,$0.014,$0.010,-12.80%,0.00%,-0.136,-0.100,1.484,0.042,2.254,39.63%,1675,1658,9.30%,54.20%,45.00%,45.00%,-5.73%,4177930.8,Stress-Trailing Stop,25.20%,23.90%,1.304%,2,Fading – Weak,Medium,Scarce,Fading,Calm - Downtrend,Downside,Unstable_Weak,$0.012,$0.02,$0.01,$0.011,$0.011,1.356,Weak,Weak – Calm,Drop Phase,Faded,Strong,Assured Value,Exposed,Breakout Tilt,Financials ,CDI,XASX,8I Holdings Ltd CDI 1:1
A11,0.145,0.42,Bearish,41,Negative,0.00%,-3.39%,-3.39%,-3.39%,-3.39%,-6.56%,-3.39%,-8.06%,-10.94%,-20.83%,83.87%,35.71%,0.285,$0.285,$0.295,$0.295,$0.295,$0.295,$0.310,$0.360,$0.210,-4.80%,0.00%,-0.074,-0.059,2.185,-0.202,1.840,10.90%,550,1029,17.20%,38.80%,12.18%,26.84%,-5.78%,228428440.5,Trader Choice,33.10%,31.82%,1.282%,1,Sideways – Weak,Low,Limited,Fading,Medium - Fading,Fading,Unstable_Weak,$0.285,$0.32,$0.21,$0.269,$0.255,1.810,Weak,Weak – Calm,Fading,Faded,Moderate,NA,Caution,Breakout,Materials,Ordinary,XASX,Atlantic Lithium Limited Ordinary
A1M,0.355,0.885,Bullish,52,Positive,14.73%,3.90%,-2.44%,-6.43%,0.00%,1.27%,17.65%,6.67%,26.98%,72.04%,49.53%,116.22%,0.8,$0.915,$0.770,$0.820,$0.855,$0.800,$0.750,$0.465,$0.370,3.76%,11.50%,0.302,-0.030,3.803,0.115,2.188,15.18%,343,98,47.30%,31.30%,19.95%,10.90%,8.47%,731528684,Trader Choice,56.90%,53.10%,3.797%,2,Uptrend – Soft,Low,Standard,Neutral,Medium - Fading,Fading,Unstable_Weak,$0.800,$0.96,$0.71,$0.868,$0.726,3.685,Monitor,Monitor – Better,Rising,Inspect,Moderate,Neutral,Balanced,Breakout,Materials,Ordinary,XASX,AIC Mines Limited Ordinary
