Code,52w Low,52w High,Long-Term Trend,RSI (14),MACD,1 Day,RR Week 1,RR Week 2,RR Week 3,RR Week 4,RR Week 6,RR Week 8,RR Week 13,RR Week 19,RR Week 26,RR Week 39,RR Week 52,Close Price,Price Close Today,Price Week 1,Price Week 2,Price Week 3,Price Week 4,Price Week 13,Price Week 26,Price Week 52,Trend RR,Over Extention Risk,Trend Score,Trend Move,Liquidity Score,Liquidity Move,Volatility Score,Upside Pressure Risk,Market Cap Rank,Ranking,Overall Momentum Score,Overall Risk,Expected Move Up,Expected Move Down,Directional Expected Move,Market cap Measured,Exit Reason,Final Score,CFS Smooth,CFS Move,Micro Regime Period,Trend Category,Volatility Category,Liquidity Category,Micro Regime,Macro VT Regime,Micro R Smooth,Market Regime Category,Price Last Friday,Upper Price Limit,Lower Price Limit,Target Price Limit,Stop price Limit,Market Standing Score,Final Verdict,EMA Final Verdict,Momentum Category,Behavioural Classifier,Confidence State,PE Valuation,Overall Risk Class,Breakout classifier,Sector,TYPE,Exchange abbreviation,Company
CMG,0.06,0.24,Bearish,29,Negative,-5.45%,-10.45%,-11.76%,-11.76%,-11.76%,-14.29%,-18.92%,-29.41%,-47.83%,-42.86%,-38.14%,-57.14%,0.06,$0.059,$0.067,$0.068,$0.068,$0.068,$0.085,$0.105,$0.140,-42.41%,0.00%,-0.519,-0.052,1.299,0.018,2.743,38.32%,1558,2189,2.90%,58.40%,33.33%,45.00%,-14.84%,7441251.1,Trader Choice,15.10%,15.35%,-0.250%,14,Downtrend – Breaking,Spiked,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$0.060,$0.08,$0.03,$0.051,$0.060,1.154,Weak,Weak – Drift,Drop Phase,Collapsed,Fragile,NA,Exposed,Neutral,Materials,Ordinary,XASX,Critical Minerals Group Limited Ordinary
CML,0.14,0.48,Bullish,50,Positive,-3.78%,2.56%,-3.61%,-3.61%,-6.98%,8.11%,17.65%,33.33%,15.94%,81.82%,131.88%,175.86%,0.4,$0.380,$0.390,$0.415,$0.415,$0.430,$0.300,$0.220,$0.145,-9.59%,6.14%,0.386,-0.045,1.534,-0.186,2.393,14.37%,927,122,40.00%,49.20%,24.48%,16.06%,14.22%,51156740,Stress-Drawdown,41.90%,38.54%,3.356%,2,Uptrend – Better,Medium,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$0.400,$0.50,$0.34,$0.457,$0.373,1.410,Recheck,Weak – Better,Climbing,Inspect,Moderate,NA,Exposed,Breakout Tilt,Information Technology,Ordinary,XASX,Connected Minerals Limited Ordinary
CMM,9.41,18.26,Bullish,46,Negative,2.47%,1.00%,-7.02%,-12.30%,-13.66%,-3.08%,26.97%,13.10%,10.86%,47.13%,5.66%,30.82%,15.11,$15.670,$14.960,$16.250,$17.230,$17.500,$13.360,$10.270,$11.550,-3.65%,16.29%,0.160,-0.119,3.797,-0.014,2.404,39.63%,88,45,41.10%,30.50%,10.00%,15.46%,-4.16%,7163435511,Trader Choice,67.10%,60.50%,6.596%,1,Uptrend – Soft,Medium,Standard,Fading,Medium - Fading,Downside,Unstable_Weak,$15.110,$16.62,$12.77,$14.481,$13.276,7.128,Positive,Monitor – Active,Climbing,Faded,Moderate,Caution Premium,Balanced,Breakout Tilt,Materials,Ordinary,XASX,Capricorn Metals Ltd Ordinary
CMP,0.215,0.45,Bearish,47,Positive,1.06%,4.44%,-6.00%,-7.84%,0.00%,4.44%,2.17%,-6.93%,-21.67%,-18.97%,-38.96%,-17.54%,0.235,$0.240,$0.225,$0.250,$0.255,$0.235,$0.253,$0.290,$0.285,-8.13%,0.93%,-0.131,0.010,1.224,-0.018,2.012,17.38%,949,1645,11.70%,46.90%,11.24%,30.46%,-5.43%,47942808,Stress-Trailing Stop,25.60%,23.50%,2.100%,2,Fading – Weak,Low,Scarce,Neutral,Calm - Uptrend,Fading,Unstable_Weak,$0.235,$0.26,$0.16,$0.222,$0.231,1.260,Weak,Weak – Calm,Drop Phase,Inspect,Strong,Extreme Premium,Caution,Breakout Tilt,Health Care,Ordinary,XASX,Compumedics Limited Ordinary
CMW,0.347,0.5,Bearish,17,Negative,1.44%,-1.41%,-7.89%,-9.09%,-15.66%,-19.54%,-17.65%,-23.08%,-16.67%,-11.39%,-27.08%,-28.57%,0.35,$0.353,$0.355,$0.380,$0.385,$0.415,$0.455,$0.395,$0.490,-60.13%,0.37%,-0.414,-0.054,2.039,0.291,1.787,27.91%,267,419,8.20%,42.60%,11.29%,26.71%,-6.70%,1106393984,Trader Choice,30.50%,25.99%,4.505%,2,Fading – Weak,Calm,Limited,Downside,Medium - Fading,Downside,Unstable_Weak,$0.350,$0.39,$0.26,$0.327,$0.322,2.464,Weak,Weak – Better,Drop Phase,Inspect,Moderate,NA,Caution,Breakout Tilt,Real Estate,Ordinary,XASX,Cromwell Property Group Ordinary/Units Stapled Securities
CMX,0.026,0.026,Neutral,30,Negative,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.026,$0.026,$0.026,$0.026,$0.026,$0.026,$0.026,$0.026,$0.026,0.00%,0.97%,-0.162,0.110,1.483,-0.016,1.492,0.32%,1061,1042,16.50%,34.60%,45.00%,45.00%,-6.18%,33545798,Stress-Drawdown,35.70%,29.97%,5.733%,6,Fading – Calm,Calm,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$0.026,$0.04,$0.01,$0.024,$0.025,1.508,Weak,Weak – Better,Fading,Improved,Very Strong,Assured Value,Balanced,Breakout,Materials,Ordinary,XASX,Chemx Materials Limited Ordinary
CNB,0.32,1.06,Bullish,57,Positive,-0.48%,2.12%,-1.53%,-4.46%,-3.02%,10.92%,101.04%,48.46%,103.16%,157.33%,132.53%,201.56%,0.965,$0.940,$0.945,$0.980,$1.010,$0.995,$0.650,$0.375,$0.320,-3.17%,17.20%,0.786,-0.101,3.042,-0.322,2.701,15.38%,523,95,57.20%,45.60%,23.36%,11.91%,16.18%,259552706,Trader Choice,58.80%,53.28%,5.523%,2,Surged – Better,Spiked,Fair,Rising,Medium - Fading,Fading,Unstable_Weak,$0.965,$1.19,$0.85,$1.121,$0.851,2.371,Monitor,Recheck – Better,Soaring,Faded,Moderate,NA,Caution,Breakout Tilt,Materials,Ordinary,XASX,Carnaby Resources Limited Ordinary
CND,0.014,0.025,Bullish,63,Positive,7.76%,17.65%,17.65%,11.11%,17.65%,11.11%,-4.76%,25.00%,21.21%,-13.04%,5.26%,-13.04%,0.02,$0.021,$0.017,$0.017,$0.018,$0.017,$0.016,$0.023,$0.023,0.08%,9.54%,0.134,0.224,3.313,0.119,2.509,10.57%,1271,319,47.80%,42.40%,45.00%,45.00%,8.06%,18140350.2,Trader Choice,40.90%,37.15%,3.754%,1,Uptrend – Better,Medium,Standard,Rising,Calm - Sideways,Fading,Unstable_Weak,$0.020,$0.03,$0.01,$0.022,$0.019,1.468,Weak,Weak – Better,Rising,Improved,Strong,NA,Caution,Breakout,Energy,Ordinary,XASX,Condor Energy Limited Ordinary
CNEW,7.4,8.57,Neutral,53,Negative,1.28%,4.12%,0.64%,0.38%,0.00%,-2.49%,4.39%,-2.00%,-2.97%,1.16%,-2.73%,-3.92%,7.84,$8.050,$7.530,$7.790,$7.810,$7.840,$8.000,$7.750,$8.160,-10.98%,2.13%,-0.050,0.071,1.218,0.052,1.460,6.26%,1742,1238,15.40%,33.90%,10.00%,16.52%,-4.25%,0,Stress-Drawdown,33.50%,29.78%,3.716%,1,Sideways – Soft,Calm,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$7.840,$8.62,$6.54,$7.507,$7.663,1.788,Weak,Weak – Better,Fading,Inspect,Strong,NA,Balanced,Breakout,Financials ,ETF,XASX,Vaneck China New Economy ETF
CNI,1.095,2.44,Bearish,45,Negative,-1.74%,2.37%,4.44%,8.37%,-5.47%,-12.50%,-11.00%,-40.60%,-21.28%,-17.25%,-38.33%,-44.18%,1.295,$1.270,$1.265,$1.240,$1.195,$1.370,$2.180,$1.565,$2.320,-27.27%,2.22%,-0.416,0.105,2.566,-0.660,2.226,39.00%,279,340,9.60%,37.70%,10.00%,33.00%,-16.58%,1054216713,Trader Choice,29.00%,27.09%,1.913%,2,Fading – Calm,Medium,Fair,Fading,Medium - Fading,Downside,Unstable_Weak,$1.295,$1.42,$0.87,$1.080,$1.248,4.434,Weak,Weak – Calm,Drop Phase,Inspect,Very Strong,Caution Premium,Balanced,Neutral,Real Estate,Other,XASX,Centuria Capital Group Stapled Sec Excl US Investor Prohibited Excl QPS
CNJ,0.005,0.076,Bearish,40,Negative,4.17%,-20.00%,-20.00%,-27.27%,0.00%,0.00%,14.29%,-11.11%,-11.11%,-11.11%,-33.33%,100.00%,0.008,$0.010,$0.010,$0.010,$0.011,$0.008,$0.009,$0.009,$0.004,-12.89%,1.32%,-0.016,-0.211,2.824,0.677,2.531,39.40%,1592,1897,14.10%,51.40%,45.00%,45.00%,-0.92%,6519870,Trader Choice,26.00%,25.05%,0.954%,1,Sideways – Weak,Medium,Fair,Neutral,Medium - Fading,Downside,Unstable_Weak,$0.008,$0.01,$0.00,$0.008,$0.007,1.436,Weak,Weak – Calm,Drop Phase,Faded,Moderate,NA,Exposed,Neutral,Materials,Ordinary,XASX,Conico Ltd Ordinary
CNQ,0.31,0.845,Bullish,49,Positive,-0.68%,-7.89%,-3.45%,-9.09%,-6.67%,42.86%,45.83%,42.86%,75.00%,77.22%,112.12%,108.96%,0.7,$0.680,$0.760,$0.725,$0.770,$0.750,$0.490,$0.395,$0.335,-11.29%,12.33%,0.717,-0.171,1.475,-0.069,2.755,24.85%,865,221,42.20%,56.90%,20.17%,14.48%,15.47%,60411390.4,Stress-Drawdown,48.70%,46.67%,2.031%,2,Surged – Better,Spiked,Scarce,Rising,Calm - Fading,Downside,Unstable_Weak,$0.700,$0.84,$0.60,$0.808,$0.610,1.420,Monitor,Monitor – Calm,Climbing,Faded,Fragile,NA,Exposed,Breakout Tilt,Industrials,Ordinary,XASX,Clean TEQ Water Limited Ordinary
CNU,6.64,8.5,Bearish,28,Negative,-0.29%,-4.62%,-6.58%,-7.96%,-14.43%,-14.43%,-13.34%,-14.43%,-18.23%,-16.32%,-15.59%,-17.83%,6.82,$6.790,$7.150,$7.300,$7.410,$7.970,$7.970,$8.150,$8.300,-40.17%,0.00%,-0.342,-0.075,2.123,-0.364,1.830,38.78%,153,405,7.80%,28.00%,10.00%,17.40%,-5.12%,2946094767,Trader Choice,27.40%,28.90%,-1.497%,1,Fading – Weak,Low,Limited,Downside,Spiked - Fading,Downside,Unstable_Weak,$6.820,$7.50,$5.63,$6.471,$6.048,5.975,Weak,Weak – Drift,Drop Phase,Collapsed,Weak,Extreme Premium,Balanced,Breakout Tilt,Communication Services,Ordinary,XASX,Chorus Limited Ordinary Foreign Exempt NZX
COB,0.046,0.36,Neutral,54,Negative,-4.27%,2.90%,-2.74%,4.41%,4.41%,-5.33%,9.23%,-10.13%,-26.04%,4.41%,-12.35%,44.90%,0.071,$0.067,$0.069,$0.073,$0.068,$0.068,$0.079,$0.068,$0.049,-4.18%,1.17%,-0.044,0.024,1.908,0.119,1.888,16.74%,1007,1636,15.90%,43.00%,28.17%,28.17%,-4.51%,39066409.2,Trader Choice,34.20%,28.61%,5.587%,5,Sideways – Calm,Low,Limited,Neutral,Medium - Fading,Downside,Unstable_Weak,$0.071,$0.09,$0.05,$0.068,$0.068,1.424,Weak,Weak – Better,Fading,Inspect,Very Strong,NA,Caution,Breakout Tilt,Materials,Ordinary,XASX,Cobalt Blue Holdings Limited Ordinary
COD,0.095,0.205,Neutral,51,Negative,-2.08%,2.13%,0.00%,-4.00%,4.35%,4.35%,0.00%,-17.24%,-11.11%,-11.11%,-4.00%,-14.29%,0.12,$0.115,$0.118,$0.120,$0.125,$0.115,$0.145,$0.135,$0.140,-2.95%,0.85%,-0.058,0.009,2.231,-0.394,2.146,14.70%,942,1185,18.50%,42.90%,16.67%,25.63%,-3.88%,49052008,Trader Choice,30.30%,28.41%,1.885%,9,Sideways – Weak,Low,Limited,Neutral,Medium - Fading,Fading,Unstable_Weak,$0.120,$0.14,$0.09,$0.115,$0.115,1.383,Weak,Weak – Calm,Fading,Faded,Strong,NA,Caution,Breakout Tilt,Materials,Ordinary,XASX,Coda Minerals Ltd Ordinary
COF,0.84,1.25,Bearish,34,Negative,2.07%,-1.75%,-4.55%,-3.45%,-1.75%,-6.67%,-4.00%,-9.19%,-10.64%,-12.50%,-27.59%,-33.07%,0.84,$0.863,$0.855,$0.880,$0.870,$0.855,$0.925,$0.960,$1.255,-31.05%,0.70%,-0.189,-0.035,1.852,0.297,1.620,15.85%,393,371,11.90%,37.70%,10.00%,18.21%,-4.85%,516697024,Trader Choice,32.00%,27.68%,4.319%,2,Fading – Weak,Calm,Limited,Fading,Medium - Fading,Downside,Unstable_Weak,$0.840,$0.92,$0.69,$0.799,$0.773,2.405,Weak,Weak – Better,Drop Phase,Inspect,Strong,NA,Balanced,Breakout,Real Estate,Ordinary,XASX,Centuria Office Reit Ordinary Units
COG,1.14,2.46,Bullish,69,Positive,-1.66%,7.10%,6.47%,15.29%,28.83%,24.83%,40.86%,28.37%,9.70%,36.09%,-10.40%,-14.22%,1.81,$1.780,$1.690,$1.700,$1.570,$1.405,$1.410,$1.330,$2.110,6.29%,20.55%,0.489,0.109,2.525,-0.428,2.261,7.35%,444,104,47.30%,37.60%,20.65%,11.13%,13.53%,379626118,Trader Choice,52.20%,50.72%,1.484%,1,Uptrend – Calm,Medium,Limited,Upside,Calm - Downtrend,Neutral,Unstable_Weak,$1.810,$2.18,$1.61,$2.055,$1.600,2.963,Monitor,Monitor – Calm,Rising,Faded,Moderate,Balanced Value,Balanced,Breakout,Financials ,Ordinary,XASX,COG Financial Services Limited Ordinary
COH,88.74,296.5,Neutral,48,Positive,2.02%,-0.18%,-6.19%,-1.62%,-1.17%,7.24%,19.97%,13.34%,34.05%,-18.66%,-48.03%,-54.33%,133.9,$140.170,$134.140,$142.740,$136.100,$135.480,$118.140,$164.620,$293.200,-2.85%,15.01%,0.085,-0.054,3.576,-0.135,2.262,33.10%,74,135,35.40%,28.60%,15.71%,10.27%,6.66%,9166966616,Trader Choice,51.60%,49.58%,2.020%,2,Uptrend – Soft,Medium,Standard,Neutral,Calm - Uptrend,Neutral,Unstable_Weak,$133.900,$154.94,$120.15,$142.819,$117.636,5.616,Monitor,Monitor – Calm,Climbing,Faded,Moderate,Exposed Premium,Balanced,Breakout Tilt,Health Care,Ordinary,XASX,Cochlear Limited Ordinary
COI,0.08,0.175,Bearish,36,Negative,-1.21%,-10.87%,-8.89%,-12.77%,-8.89%,-4.65%,-10.87%,-36.92%,-43.45%,-39.26%,-36.92%,-25.45%,0.082,$0.082,$0.092,$0.090,$0.094,$0.090,$0.130,$0.135,$0.110,-10.69%,0.00%,-0.315,-0.140,2.635,-0.299,2.549,32.49%,670,2048,8.40%,49.70%,24.39%,37.83%,-9.22%,136839233.5,Trader Choice,10.00%,15.73%,-5.730%,1,Fading – Breaking,Medium,Fair,Fading,Calm - Sideways,Fading,Unstable_Weak,$0.082,$0.10,$0.05,$0.074,$0.069,1.533,Weak,Weak – Ease,Drop Phase,Collapsed,Weak,NA,Exposed,Neutral,Energy,Ordinary,XASX,Comet Ridge Limited Ordinary
COL,20.1,24.59,Neutral,44,Negative,-0.80%,-0.47%,-2.36%,-2.86%,1.31%,-4.42%,-1.32%,-2.28%,6.89%,7.09%,7.34%,-2.12%,23.12,$22.850,$23.230,$23.680,$23.800,$22.820,$23.660,$21.590,$23.620,-13.41%,2.68%,-0.019,-0.030,2.705,-0.498,1.594,12.55%,22,122,23.80%,16.40%,10.79%,10.00%,1.57%,30690817550,Trader Choice,48.30%,47.88%,0.417%,1,Sideways – Weak,Calm,Fair,Fading,Medium - Downtrend,Fading,Unstable_Weak,$23.120,$25.61,$20.81,$23.484,$21.631,9.183,Monitor,Monitor – Calm,Fading,Collapsed,Fragile,Caution Premium,Assured,Breakout,Consumer Staples,Ordinary,XASX,Coles Group Limited Ordinary
COMP,49.22,50.48,Neutral,36,Negative,0.23%,-0.02%,-0.30%,-1.12%,-1.12%,-1.34%,-0.92%,-1.96%,NA,NA,NA,NA,49.41,$49.490,$49.420,$49.560,$49.970,$49.970,$50.400,$0.000,$0.000,-21.92%,0.11%,-0.065,0.000,1.369,0.080,1.791,6.97%,1742,1371,14.40%,35.30%,10.00%,18.02%,-4.91%,0,Stress-Drawdown,30.90%,26.64%,4.262%,14,Sideways – Weak,Calm,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$49.410,$54.35,$40.51,$46.983,$46.729,1.995,Weak,Weak – Better,Drop Phase,Inspect,Strong,NA,Balanced,Breakout,Other,ETF,XASX,BetaShares Bloomberg Ausbond Composite ETF
CORE,10.25,12.07,Neutral,51,Negative,0.90%,0.95%,0.09%,-0.17%,-0.09%,-2.25%,0.86%,-0.76%,4.37%,13.14%,4.18%,7.14%,11.71,$11.910,$11.600,$11.700,$11.730,$11.720,$11.800,$10.350,$10.930,-0.02%,1.51%,0.007,0.025,1.255,0.072,1.453,5.71%,1742,937,26.90%,33.20%,11.77%,10.90%,3.77%,0,Stress-Drawdown,41.40%,37.21%,4.194%,14,Sideways – Calm,Calm,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$11.710,$13.09,$10.43,$12.152,$11.223,1.841,Recheck,Weak – Better,Stable,Inspect,Moderate,NA,Balanced,Breakout,Financials ,ETF,XASX,Schroder Global Core Fund - Active ETF
COS,0.175,0.65,Bearish,44,Negative,2.63%,2.70%,-2.56%,-2.56%,-5.00%,-9.52%,-5.00%,-7.32%,-17.39%,-15.56%,-57.54%,-67.52%,0.19,$0.200,$0.185,$0.195,$0.195,$0.200,$0.205,$0.225,$0.585,-14.30%,0.68%,-0.294,0.029,1.245,-0.078,2.136,20.78%,1029,2041,6.60%,48.80%,10.96%,44.67%,-11.55%,36397760,Trader Choice,18.80%,16.68%,2.119%,4,Fading – Breaking,Low,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$0.190,$0.21,$0.11,$0.168,$0.188,1.242,Weak,Weak – Calm,Drop Phase,Inspect,Moderate,NA,Exposed,Neutral,Information Technology,Ordinary,XASX,Cosol Limited Ordinary
COV,0.292,0.9,Bearish,41,Negative,-6.94%,-1.59%,-19.48%,-10.14%,-2.36%,-6.06%,-6.06%,-36.73%,-52.67%,-35.42%,-51.18%,-22.50%,0.31,$0.298,$0.315,$0.385,$0.345,$0.318,$0.490,$0.480,$0.400,-15.96%,0.00%,-0.452,-0.024,1.581,0.057,2.300,42.64%,981,2125,4.30%,55.00%,10.09%,39.15%,-10.67%,42359150.75,Trader Choice,17.90%,16.51%,1.394%,2,Fading – Breaking,Medium,Scarce,Fading,Calm - Uptrend,Downside,Unstable_Weak,$0.310,$0.34,$0.19,$0.277,$0.310,1.322,Weak,Weak – Calm,Drop Phase,Faded,Moderate,NA,Exposed,Neutral,Health Care,Ordinary,XASX,Cleo Diagnostics Ltd Ordinary
COY,0.003,0.016,Neutral,50,Positive,-10.00%,25.00%,-16.67%,-16.67%,0.00%,66.67%,25.00%,25.00%,-44.44%,-37.50%,-44.44%,-61.54%,0.005,$0.004,$0.004,$0.006,$0.006,$0.005,$0.004,$0.008,$0.013,-2.96%,6.00%,0.008,0.005,1.584,-0.148,2.953,34.34%,1696,1371,23.70%,59.80%,45.00%,45.00%,8.09%,3530629.6,Stress-Drawdown,26.90%,26.23%,0.673%,1,Sideways – Soft,Volatile,Scarce,Rising,Medium - Fading,Downside,Unstable_Weak,$0.005,$0.01,$0.00,$0.005,$0.005,1.470,Weak,Weak – Calm,Fading,Faded,Strong,NA,Exposed,Breakdown Tilt,Materials,Ordinary,XASX,Coppermoly Limited Ordinary
CP8,0.041,0.2,Bullish,59,Positive,0.00%,6.90%,0.00%,34.78%,34.78%,40.91%,29.17%,3.33%,-13.89%,138.46%,121.43%,192.45%,0.155,$0.155,$0.145,$0.155,$0.115,$0.115,$0.150,$0.065,$0.053,4.60%,12.48%,0.562,0.055,1.214,-0.055,3.070,15.57%,860,211,44.40%,58.00%,30.36%,21.07%,21.03%,61151886.5,Stress-Drawdown,50.80%,44.33%,6.474%,3,Surged – Better,Volatile,Scarce,Upside,Medium - Fading,Fading,Unstable_Weak,$0.155,$0.20,$0.12,$0.188,$0.137,1.372,Recheck,Weak – Active,Climbing,Improved,Very Strong,NA,Exposed,Neutral,Materials,Ordinary,XASX,Canadian Phosphate Limited Ordinary
CPM,0.042,0.1,Bullish,62,Positive,8.33%,12.50%,-5.26%,-5.26%,34.33%,40.63%,42.86%,60.71%,80.00%,91.49%,55.17%,38.46%,0.09,$0.105,$0.080,$0.095,$0.095,$0.067,$0.056,$0.047,$0.065,5.17%,15.07%,0.802,0.056,2.825,0.575,3.005,16.70%,1409,136,57.70%,51.90%,40.98%,22.22%,23.15%,12074433,Trader Choice,64.40%,54.03%,10.368%,4,Surged – Strong,Volatile,Fair,Upside,Medium - Fading,Fading,Unstable_Weak,$0.090,$0.13,$0.07,$0.111,$0.090,1.129,Positive,Recheck – Active,Soaring,Improved,Strong,NA,Exposed,Neutral,Materials,Ordinary,XASX,Cooper Metals Limited Ordinary
CPN,0.069,0.205,Bullish,59,Positive,-3.57%,3.70%,16.67%,12.00%,12.00%,7.69%,7.69%,66.67%,16.67%,16.67%,72.84%,64.71%,0.14,$0.135,$0.135,$0.120,$0.125,$0.125,$0.084,$0.120,$0.085,1.29%,7.74%,0.354,0.108,2.481,-0.359,2.403,5.67%,999,284,49.10%,42.50%,40.37%,17.80%,19.95%,40128723,Trader Choice,51.80%,46.28%,5.524%,2,Uptrend – Strong,Medium,Limited,Rising,Medium - Fading,Neutral,Unstable_Weak,$0.140,$0.20,$0.12,$0.168,$0.121,1.330,Monitor,Weak – Better,Rising,Inspect,Weak,NA,Caution,Breakout Tilt,Materials,Ordinary,XASX,Caspin Resources Limited Ordinary
CPO,0.009,0.022,Bullish,57,Positive,2.78%,-5.26%,-5.26%,0.00%,38.46%,63.64%,28.57%,100.00%,38.46%,63.64%,50.00%,38.46%,0.018,$0.019,$0.019,$0.019,$0.018,$0.013,$0.009,$0.011,$0.013,12.75%,11.40%,0.748,-0.080,2.690,-0.244,2.729,16.03%,1341,174,57.70%,49.10%,45.00%,45.00%,24.60%,15153290.4,Trader Choice,53.40%,49.59%,3.808%,4,Surged – Strong,Spiked,Fair,Upside,Medium - Fading,Neutral,Unstable_Weak,$0.018,$0.03,$0.01,$0.022,$0.017,1.459,Weak,Weak – Better,Soaring,Faded,Moderate,NA,Exposed,Breakout Tilt,Materials,Ordinary,XASX,Culpeo Minerals Limited Ordinary
CPPR,9.16,12.08,Neutral,48,Negative,2.91%,-0.46%,-2.50%,-8.92%,-1.62%,-0.09%,11.31%,3.36%,8.33%,NA,NA,NA,10.92,$11.330,$10.970,$11.200,$11.990,$11.100,$10.565,$0.000,$0.000,-17.51%,3.62%,0.058,-0.050,1.264,0.044,1.937,26.96%,1742,1164,21.60%,45.20%,11.64%,11.65%,4.87%,0,Stress-Drawdown,32.40%,30.26%,2.138%,2,Sideways – Calm,Low,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$10.920,$12.19,$9.65,$11.452,$10.232,1.832,Weak,Weak – Calm,Fading,Inspect,Strong,NA,Caution,Breakout Tilt,Other,ETF,XASX,ETFS Global Pure Play Copper Miners ETF
CPU,26.73,43.79,Bullish,60,Positive,-0.61%,3.44%,2.74%,4.15%,4.39%,-4.71%,3.57%,11.41%,33.09%,47.81%,19.28%,9.15%,40.9,$41.040,$39.540,$39.810,$39.270,$39.180,$36.710,$27.670,$37.470,25.49%,22.74%,0.192,0.077,2.766,-0.435,1.957,15.54%,29,34,42.80%,25.10%,20.67%,10.45%,11.81%,23737006584,Trader Choice,62.80%,59.09%,3.712%,2,Uptrend – Calm,Low,Fair,Neutral,Calm - Fading,Fading,Unstable_Weak,$40.900,$49.35,$36.63,$45.730,$37.103,8.755,Positive,Positive – Better,Climbing,Faded,Moderate,Neutral,Assured,Breakout,Industrials,Ordinary,XASX,Computershare Limited Ordinary
CPV,0.064,0.23,Bearish,31,Negative,2.96%,0.00%,-5.48%,-10.39%,-12.66%,-11.54%,-14.81%,-50.71%,-30.30%,-42.50%,-51.58%,-68.64%,0.069,$0.070,$0.069,$0.073,$0.077,$0.079,$0.140,$0.120,$0.220,-40.20%,0.55%,-0.499,0.011,2.241,-0.485,2.129,35.51%,1155,2186,5.40%,49.20%,28.99%,45.00%,-15.88%,25480392,Trader Choice,16.40%,16.50%,-0.103%,9,Downtrend – Breaking,Low,Limited,Fading,Calm - Fading,Downside,Unstable_Weak,$0.069,$0.09,$0.04,$0.058,$0.064,1.362,Weak,Weak – Drift,Drop Phase,Faded,Weak,NA,Exposed,Neutral,Industrials,Ordinary,XASX,Clearvue Technologies Limited Ordinary
CQE,2.32,3.46,Bearish,45,Negative,0.42%,0.00%,-0.42%,1.27%,-1.24%,-12.77%,-6.64%,-9.81%,-8.78%,-5.91%,-26.69%,-30.72%,2.39,$2.390,$2.390,$2.400,$2.360,$2.420,$2.650,$2.540,$3.450,-20.02%,0.29%,-0.194,0.027,2.096,0.231,1.609,25.25%,302,355,13.20%,33.90%,10.67%,10.45%,2.07%,909171008,Trader Choice,35.20%,31.33%,3.865%,6,Fading – Soft,Calm,Limited,Fading,Medium - Fading,Downside,Unstable_Weak,$2.390,$2.65,$2.14,$2.439,$2.259,2.963,Weak,Recheck – Better,Drop Phase,Inspect,Strong,NA,Balanced,Breakout Tilt,Real Estate,Ordinary,XASX,Charter Hall Social Infrastructure Reit Ordinary Units
CQR,3.56,4.25,Bearish,34,Negative,-0.27%,0.27%,-5.85%,-5.37%,-7.27%,-12.53%,-4.64%,-6.33%,-2.37%,-2.37%,-9.98%,-10.84%,3.7,$3.680,$3.690,$3.930,$3.910,$3.990,$3.950,$3.790,$4.150,-2.57%,0.06%,-0.200,-0.033,1.658,0.160,1.779,26.20%,178,292,11.00%,32.80%,10.00%,11.95%,-0.66%,2388840192,Stress-Drawdown,36.70%,32.20%,4.504%,4,Fading – Soft,Calm,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$3.700,$4.07,$3.26,$3.676,$3.471,3.690,Weak,Recheck – Better,Drop Phase,Inspect,Strong,NA,Balanced,Breakout Tilt,Real Estate,Ordinary,XASX,Charter Hall Retail Reit Ordinary Units
CQT,0.013,0.064,Bearish,45,Positive,-2.94%,-19.05%,0.00%,21.43%,6.25%,-15.00%,-10.53%,-26.09%,-55.26%,-50.00%,-67.92%,NA,0.017,$0.016,$0.021,$0.017,$0.014,$0.016,$0.023,$0.034,$0.000,-10.74%,1.49%,-0.310,-0.016,1.690,-0.124,2.480,42.04%,1347,1960,8.60%,56.50%,45.00%,45.00%,-7.50%,14762476.8,Stress-Trailing Stop,17.10%,17.68%,-0.579%,1,Fading – Breaking,Medium,Scarce,Neutral,Calm - Uptrend,Rising,Unstable_Weak,$0.017,$0.02,$0.01,$0.016,$0.017,1.475,Weak,Weak – Drift,Drop Phase,Faded,Moderate,NA,Exposed,Breakdown Tilt,Health Care,Ordinary,XASX,Conneqt Health Limited Ordinary
